layer,rank,expert,macro_reap,reap_analects,reap_bible,reap_bofm,reap_dhamma,reap_gita,reap_quran,reap_tao,reap_upanishads
36,8,57,2.9156,2.7997,2.8522,2.9204,2.8025,3.8104,3.1362,1.5038,3.4994
36,9,52,2.9029,4.1606,2.4794,2.9383,2.7529,2.791,2.3606,1.9164,3.8242
36,10,42,2.4523,2.8003,2.7404,3.2126,2.5951,1.6161,2.5668,1.9498,2.1376
36,11,45,2.3911,2.173,3.2262,2.8307,1.2444,3.6102,0.8742,0.8004,4.3698
36,12,51,2.3897,2.3262,5.8671,3.1645,2.0128,1.4779,1.856,0.6989,1.714
36,13,40,2.3497,2.789,2.7925,5.4168,0.5633,1.4266,3.3224,0.4116,2.0755
36,14,55,2.1963,1.852,3.1332,3.0235,3.0692,0.7579,2.2273,1.3415,2.166
36,15,7,2.1884,3.787,0.4276,2.9509,0.8222,0.7586,3.0725,0.6922,4.9961
36,16,0,nan,1.7958,2.6947,nan,1.2542,0.4749,nan,0.2818,2.4177
36,17,1,nan,0.1802,1.8248,nan,1.2879,1.1339,nan,0.5558,1.1558
36,18,2,nan,9.8004,10.3089,nan,7.3777,4.909,nan,6.1093,5.1973
36,19,3,nan,1.9253,2.8371,nan,1.0216,1.7276,nan,0.1938,1.5377
36,20,4,nan,5.8313,6.554,nan,5.8244,4.0033,nan,4.6851,4.2683
37,1,93,2496.5267,455.6327,3993.7977,228.6245,1906.8449,935.9575,3303.3354,8941.1161,206.9047
37,2,40,13.0372,13.8617,20.0482,13.0656,8.9607,10.8951,11.0333,11.0195,15.4133
37,3,123,12.8652,12.662,14.7198,13.5517,13.7368,12.3058,11.8999,12.8247,11.2208
37,4,134,11.5852,9.872,13.7123,12.2348,11.5836,8.9749,9.5061,4.1126,22.6852
37,5,87,9.4685,9.5396,3.8007,9.7389,12.1449,11.4392,8.9567,6.7791,13.349
37,6,57,8.5774,7.8284,5.2706,7.6324,8.199,9.4434,10.6239,7.9284,11.6932
